

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2025-12-04 21:49:25 /api/driver/login .......................... ~ 500.79ms
  2025-12-04 21:49:26 /api/shuttle/create .......................... ~ 0.13ms
  2025-12-04 21:49:41 /api/login ................................... ~ 0.27ms
  2025-12-04 21:49:42 /api/login ................................... ~ 0.21ms
  2025-12-04 21:49:42 /api/driver/login .......................... ~ 501.33ms
  2025-12-04 21:49:43 /api/shuttle/create ........................ ~ 500.94ms
  2025-12-04 21:50:11 /api/login ................................. ~ 500.85ms
  2025-12-04 21:50:11 /api/login ................................. ~ 501.32ms
  2025-12-04 21:50:12 /api/driver/login .......................... ~ 500.62ms
  2025-12-04 21:50:12 /api/shuttle/create ........................ ~ 501.32ms
  2025-12-04 21:50:32 /api/login ................................. ~ 500.89ms
  2025-12-04 21:50:32 /api/login ................................. ~ 501.30ms
  2025-12-04 21:50:33 /api/driver/login ................................ ~ 1s
  2025-12-04 21:50:33 /api/shuttle/create .......................... ~ 0.22ms
  2025-12-04 21:50:34 /api/shuttle/create ........................ ~ 501.30ms
  2025-12-04 21:50:34 /api/driver/shuttle/start .................... ~ 0.09ms
  2025-12-04 21:50:34 /api/driver/shuttle/arrive ................. ~ 501.02ms
  2025-12-04 21:50:34 /api/driver/shuttle/depart ................... ~ 0.10ms
  2025-12-04 21:50:35 /api/driver/shuttle/arrive ................. ~ 501.50ms
  2025-12-04 21:50:35 /api/driver/shuttle/depart ................... ~ 0.08ms
  2025-12-04 21:50:35 /api/driver/shuttle/arrive ................. ~ 501.46ms
  2025-12-04 21:50:36 /api/driver/shuttle/depart ................. ~ 501.18ms
  2025-12-04 21:51:06 /api/login ................................. ~ 500.73ms
  2025-12-04 21:51:07 /api/shuttle/create ........................ ~ 500.62ms
  2025-12-04 21:51:07 /api/cancel-ride ........................... ~ 500.96ms
  2025-12-04 21:51:34 /api/login ................................... ~ 0.65ms
  2025-12-04 21:51:34 /api/shuttle/create ........................ ~ 501.21ms
  2025-12-04 21:51:35 /api/ride/cancel/27 ........................ ~ 500.50ms
  2025-12-04 21:51:51 /api/login ................................... ~ 0.32ms
  2025-12-04 21:51:51 /api/shuttle/create .............................. ~ 1s
  2025-12-04 21:51:52 /api/ride/cancel/28 .......................... ~ 0.25ms
  2025-12-04 21:52:13 /api/login ................................. ~ 502.03ms
  2025-12-04 21:52:13 /api/shuttle/create ........................ ~ 501.23ms
  2025-12-04 21:52:14 /api/ride/cancel/29 ........................ ~ 500.72ms
